Time,ID,Action,Weight (kg),Weight (g)
2020-01-09 07:39:46,,weight checked,0.217,
2020-01-09 07:40:02,000271,food added,,248.47
2020-01-09 07:43:27,000272,food added,,55.71
2020-01-09 07:43:32,000273,food added,,57.78
2020-01-09 07:44:10,000274,food added,,132.86
2020-01-09 07:44:15,000275,food added,,64.83
2020-01-09 07:44:47,,weight checked,0.775,
2020-01-09 07:49:11,000276,food added,,32.60
2020-01-09 07:49:47,,weight checked,0.887,
2020-01-09 07:50:43,000277,food added,,33.57
2020-01-09 07:50:54,000278,food added,,34.63
2020-01-09 07:51:44,000279,food added,,21.92
2020-01-09 07:51:57,000280,food added,,37.25
2020-01-09 07:54:48,,weight checked,1.133,
2020-01-09 07:55:20,000281,food added,,71.89
2020-01-09 07:56:20,000282,food added,,43.37
2020-01-09 07:58:39,000283,food added,,30.99
2020-01-09 07:59:48,,weight checked,1.321,
2020-01-09 08:00:12,000284,food added,,40.67
2020-01-09 08:02:47,000285,food added,,67.14
2020-01-09 08:04:49,,weight checked,1.492,
2020-01-09 08:05:53,000286,food added,,39.18
2020-01-09 08:09:49,,weight checked,1.579,
2020-01-09 08:14:49,,weight checked,1.597,
2020-01-09 08:19:50,,weight checked,1.610,
2020-01-09 08:24:50,,weight checked,1.572,
2020-01-09 08:29:51,,weight checked,1.573,
2020-01-09 08:30:03,000287,food added,,94.25
2020-01-09 08:34:51,,weight checked,1.652,
2020-01-09 08:38:33,000288,food added,,60.74
2020-01-09 08:39:52,,weight checked,1.708,
2020-01-09 08:44:52,,weight checked,1.698,
2020-01-09 08:49:34,000289,food added,,107.16
2020-01-09 08:49:53,,weight checked,1.800,
2020-01-09 08:49:57,000290,food added,,174.44
2020-01-09 08:51:35,000291,food added,,106.99
2020-01-09 08:54:42,000292,food added,,69.59
2020-01-09 08:54:53,,weight checked,2.086,
2020-01-09 08:57:56,000293,food added,,62.20
2020-01-09 08:59:54,,weight checked,2.063,
2020-01-09 09:04:54,,weight checked,2.057,
2020-01-09 09:05:48,000294,food added,,247.82
2020-01-09 09:07:32,000295,food added,,176.51
2020-01-09 09:09:23,000296,food added,,77.75
2020-01-09 09:09:37,000297,food added,,28.97
2020-01-09 09:09:54,,weight checked,2.492,
2020-01-09 09:14:55,,weight checked,2.522,
2020-01-09 09:15:48,000298,food added,,37.24
2020-01-09 09:15:52,000299,food added,,315.36
2020-01-09 09:17:50,000300,food added,,90.32
2020-01-09 09:19:14,000301,food added,,42.13
2020-01-09 09:19:21,000302,food added,,251.40
2020-01-09 09:19:55,,weight checked,3.225,
2020-01-09 09:20:32,000303,food added,,104.14
2020-01-09 09:24:56,,weight checked,3.379,
2020-01-09 09:29:56,,weight checked,3.421,
2020-01-09 09:34:35,000304,food added,,142.07
2020-01-09 09:34:54,000305,food added,,42.36
2020-01-09 09:34:57,,weight checked,3.648,
2020-01-09 09:37:23,000306,food added,,49.39
2020-01-09 09:39:57,,weight checked,3.796,
2020-01-09 09:42:06,000307,food added,,65.38
2020-01-09 09:44:58,,weight checked,3.924,
2020-01-09 09:49:04,000308,food added,,147.46
2020-01-09 09:49:58,,weight checked,4.114,
2020-01-09 09:50:03,000309,food added,,1591.72
2020-01-09 09:54:58,,weight checked,4.100,
2020-01-09 09:57:55,000310,food added,,74.84
2020-01-09 09:59:59,,weight checked,4.199,
2020-01-09 10:04:59,,weight checked,4.194,
2020-01-09 10:10:00,,weight checked,4.193,
2020-01-09 10:15:00,,weight checked,4.187,
2020-01-09 10:20:01,,weight checked,4.176,
2020-01-09 10:25:01,,weight checked,4.118,
2020-01-09 10:26:16,000311,food added,,202.21
2020-01-09 10:29:25,000312,food added,,117.72
2020-01-09 10:30:02,,weight checked,4.319,
2020-01-09 10:34:54,000313,food added,,77.51
2020-01-09 10:35:02,,weight checked,4.374,
2020-01-09 10:40:02,,weight checked,4.412,
2020-01-09 10:45:03,,weight checked,4.489,
2020-01-09 10:50:03,,weight checked,4.563,
2020-01-09 10:55:04,,weight checked,4.624,
2020-01-09 11:00:04,,weight checked,4.673,
2020-01-09 11:00:31,000314,food added,,21.43
