Time,ID,Grade,A,B,C,D,F,N
2020-03-09 17:55:20,000291,A,0.77,0.09,0.00,0.00,0.00,0.13
2020-03-09 18:02:49,000292,C,0.04,0.01,0.54,0.34,0.07,0.01
2020-03-09 18:03:16,000293,B,0.02,0.90,0.06,0.02,0.00,0.00
2020-03-09 18:03:19,000294,C,0.04,0.08,0.54,0.32,0.02,0.01
2020-03-09 18:03:26,000295,C,0.01,0.17,0.76,0.05,0.00,0.00
2020-03-09 18:05:09,000296,C,0.07,0.28,0.45,0.19,0.02,0.00
2020-03-09 18:06:06,000297,A,0.80,0.06,0.02,0.01,0.02,0.08
2020-03-09 18:07:12,000298,B,0.04,0.76,0.19,0.01,0.00,0.00
2020-03-09 18:07:44,000299,B,0.06,0.81,0.11,0.02,0.00,0.01
2020-03-09 18:10:28,000300,N,0.12,0.00,0.00,0.00,0.00,0.88
2020-03-09 18:11:21,000301,C,0.00,0.04,0.95,0.01,0.00,0.00
2020-03-09 18:11:46,000302,B,0.41,0.58,0.01,0.00,0.00,0.00
2020-03-09 18:12:38,000303,A,0.58,0.18,0.16,0.08,0.00,0.00
2020-03-09 18:12:46,000304,A,0.96,0.02,0.01,0.00,0.00,0.00
2020-03-09 18:14:20,000305,C,0.01,0.23,0.59,0.17,0.00,0.00
2020-03-09 18:19:21,000306,D,0.00,0.33,0.24,0.39,0.03,0.00
2020-03-09 18:19:48,000307,A,0.52,0.45,0.03,0.00,0.00,0.00
2020-03-09 18:23:19,000308,A,0.96,0.04,0.00,0.00,0.00,0.00
2020-03-09 18:23:25,000309,A,0.93,0.05,0.02,0.00,0.00,0.00
2020-03-09 18:28:42,000310,B,0.05,0.72,0.21,0.03,0.00,0.00
2020-03-09 18:30:02,000311,B,0.03,0.77,0.19,0.01,0.00,0.00
2020-03-09 18:35:04,000312,A,0.98,0.01,0.00,0.00,0.00,0.01
2020-03-09 18:36:21,000313,A,0.69,0.19,0.10,0.01,0.00,0.00
2020-03-09 18:38:14,000314,B,0.01,0.90,0.09,0.00,0.00,0.00
